Country,Name
France,Paris
France,Marseille
France,Lyon
France,Toulouse
France,Nice
France,Nantes
France,Strasbourg
France,Montpellier
France,Bordeaux
France,Rennes
France,Le Havre
France,Reims
France,Lille
France,St-Étienne
France,Toulon
France,Grenoble
France,Angers
France,Dijon
France,Brest
France,Le Mans
France,Clermont-Ferrand
France,Amiens
France,Aix-en-Provence
France,Limoges
France,Nîmes
France,Tours
France,Villeurbanne
France,Metz
France,Besançon
France,Caen
France,Orléans
France,Mulhouse
France,Rouen
France,Boulogne-Billancourt
France,Perpignan
France,Nancy
France,Roubaix
France,Argenteuil
France,Tourcoing
France,Montreuil
