Name,CityPopulation,RuralPopulation
Afghanistan,2332100,88547900
Netherlands,5180049,439011951
Netherlands Antilles,2345,214655
Albania,270000,3131200
Algeria,5192179,561285821
American Samoa,7523,128477
Andorra,21189,56811
Angola,2561600,61828400
Anguilla,1556,14444
Antigua and Barbuda,24000,44000
United Arab Emirates,1728336,10476664
Argentina,19996563,2090827437
Armenia,1633100,8926900
Aruba,29034,73966
Australia,11313666,253090334
Azerbaijan,2464000,28472000
Bahamas,172000,135000
Bahrain,148000,469000
Bangladesh,8569906,3091150094
Barbados,6070,263930
Belgium,1609322,90541678
Belize,62915,419085
Benin,968503,23419497
Bermuda,3000,127000
Bhutan,22000,2102000
Bolivia,3378644,63253356
Bosnia and Herzegovina,599106,11316894
Botswana,314822,2929178
Brazil,85876862,42442873138
United Kingdom,22436673,4807058727
"Virgin Islands, British",8000,13000
Brunei,21484,306516
Bulgaria,2696915,79212085
Burkina Faso,1229000,34582000
Burundi,300000,6395000
Cayman Islands,19600,18400
Chile,9717970,431401030
Cook Islands,11900,8100
Costa Rica,339131,3683869
Djibouti,383000,255000
Dominica,16243,54757
Dominican Republic,2438276,48531724
Ecuador,5744142,183945858
Egypt,20083079,2513306921
El Salvador,1138231,42793769
Eritrea,431000,3419000
Spain,16669189,2310391111
South Africa,15196370,1761391630
Ethiopia,3190334,434764666
Falkland Islands,1636,364
Fiji Islands,77366,739634
Philippines,30934791,10300577209
Faroe Islands,14542,28458
Gabon,419000,807000
Gambia,144926,2465074
Georgia,1880900,22959100
Ghana,1819889,99240111
Gibraltar,27025,-2025
Grenada,4621,89379
Greenland,13445,42555
Guadeloupe,75380,836620
Guam,10639,325361
Guatemala,1225188,44314812
Guinea,1090610,6339390
Guinea-Bissau,241000,972000
Guyana,254000,607000
Haiti,1517338,31370662
Honduras,1287000,18168000
Hong Kong,3300633,10263367
Svalbard and Jan Mayen,1438,1762
Indonesia,37485695,17991609305
India,123298526,345535443474
Iraq,8926041,337798959
Iran,26032990,4510001010
Ireland,609041,6941159
Iceland,109184,169816
Israel,2813000,84225000
Italy,15087019,3330352981
East Timor,47900,837100
Austria,2384273,46166527
Jamaica,314140,7434860
Japan,77965107,31347106893
Yemen,1743700,106928300
Jordan,1847677,23567323
Christmas Island,700,1800
Yugoslavia,2189507,82930493
Cambodia,805055,32698945
Cameroon,3522554,102072446
Canada,12673840,1513529160
Cape Verde,94800,333200
Kazakstan,5484200,335198800
Kenya,3522793,237117207
Central African Republic,524000,3091000
China,175953614,463577600386
Kyrgyzstan,812100,8585900
Kiribati,7281,158719
Colombia,20250990,1587947010
Comoros,36000,542000
Congo,1450000,4436000
"Congo, The Democratic Republic of the",9864615,919907385
Cocos (Keeling) Islands,670,530
North Korea,6476751,306030249
South Korea,38999893,3240080107
Greece,1972843,82392757
Croatia,1168883,16723117
Cuba,4629925,152184075
Kuwait,261252,5654748
Cyprus,349400,1160000
Laos,628452,10237548
Latvia,968596,6304004
Lesotho,297000,1856000
Lebanon,1340000,5224000
Liberia,850000,2304000
Libyan Arab Jamahiriya,2697007,19722993
Liechtenstein,10389,54211
Lithuania,1473317,17019183
Luxembourg,80700,355000
Western Sahara,169000,124000
Macao,437500,35500
Madagascar,1123161,78586839
Macedonia,444299,1579701
Malawi,914119,20935881
Maldives,71000,215000
Malaysia,4605141,395786859
Mali,809552,10424448
Malta,28518,731882
Morocco,8757562,614964438
Marshall Islands,28000,36000
Martinique,94050,300950
Mauritania,764900,4575100
Mauritius,337280,3136720
Mayotte,12000,137000
Mexico,59752521,17046660479
"Micronesia, Federated States of",30600,207400
Moldova,1193300,16326700
Monaco,14388,53612
Mongolia,773700,1888300
Montserrat,2000,9000
Mozambique,3143145,233016855
Myanmar,6203000,723573000
Namibia,169000,1557000
Nauru,4609,19391
Nepal,1132403,118517597
Nicaragua,1269223,19026777
Niger,653857,31536143
Nigeria,17366900,7119017100
Niue,682,1318
Norfolk Island,800,1200
Norway,1100028,21292472
Côte d’Ivoire,3191137,70738863
Oman,537096,12172904
Pakistan,31546745,9200950255
Palau,12000,7000
Panama,786755,4925245
Papua New Guinea,247000,4560000
Paraguay,1020020,26459980
Peru,12147242,552416758
Pitcairn,42,8
Northern Mariana Islands,9200,68800
Portugal,1145011,48842989
Puerto Rico,1564174,33256826
Poland,11687431,1689070969
Equatorial Guinea,40000,413000
Qatar,355000,244000
France,9244494,2359783506
French Guiana,50699,130301
French Polynesia,51441,418559
Réunion,131480,567520
Romania,7469006,643740494
Rwanda,286000,7447000
Sweden,2891431,130029569
Saint Helena,1500,4500
Saint Kitts and Nevis,11600,26400
Saint Lucia,2301,151699
Saint Vincent and the Grenadines,17100,96900
Saint Pierre and Miquelon,5808,1192
Germany,26245483,7615071617
Solomon Islands,50100,393900
Zambia,2473500,61709500
Samoa,35900,144100
San Marino,7096,46904
Sao Tome and Principe,49541,97459
Saudi Arabia,10636700,507931300
Senegal,2770458,82558542
Seychelles,41000,36000
Sierra Leone,850000,4004000
Singapore,4017733,-450733
Slovakia,784143,15411957
Slovenia,386518,3589082
Somalia,1177000,29114000
Sri Lanka,1545000,130244000
Sudan,4752187,349127813
Finland,1532919,34666181
Suriname,112000,305000
Swaziland,61000,947000
Switzerland,914200,34887800
Syria,4477784,172897216
Tajikistan,685500,11690500
Taiwan,13569336,921182664
Tanzania,2944034,332225966
Denmark,1215945,25434055
Thailand,7953161,728834839
Togo,375000,4254000
Tokelau,300,1700
Tonga,22400,76600
Trinidad and Tobago,99997,2490003
Chad,630465,14671535
Czech Republic,2634711,100146289
Tunisia,1798500,74889500
Turkey,28327028,4100314972
Turkmenistan,972600,16863400
Turks and Caicos Islands,4800,12200
Tuvalu,4600,7400
Uganda,890800,20887200
Ukraine,20074000,2855918000
Hungary,2953310,87435490
Uruguay,1236000,2101000
New Caledonia,76293,137707
New Zealand,1847600,32910400
Uzbekistan,5183900,408222100
Belarus,4741000,159035000
Wallis and Futuna,1137,13863
Vanuatu,33700,156300
Holy See (Vatican City State),455,545
Venezuela,12251091,978718909
Russian Federation,69150700,27701375300
Vietnam,9364813,1746939187
Estonia,505227,2373173
United States,78625774,76191192226
"Virgin Islands, U.S.",13000,80000
Zimbabwe,2730420,67283580
Palestine,902360,17703640
