Region,CityPopulation,RuralPopulation
Southern and Central Asia,207688970,363457732030
Western Europe,45683298,10585925902
Caribbean,11067550,277703450
Southern Europe,40016658,5892084442
Northern Africa,43449514,4133421486
Polynesia,135925,800125
Central Africa,19061775,1107324225
Middle East,70371374,5447126026
South America,172037859,48360987141
Australia and New Zealand,13163436,286004264
Central America,65860964,17179992036
Western Africa,33222032,7496767968
North America,91321867,77704892133
Southern Africa,16038192,1768680808
British Islands,23045714,4813999886
Southeast Asia,102067225,31930949775
Eastern Europe,123384516,33347672284
Eastern Africa,24067066,1537576934
Melanesia,484459,5987541
Nordic Countries,6865487,211622313
Micronesia,102329,822671
Eastern Asia,317476534,499404187466
Baltic Countries,2947140,25696360
