Continent,Name
Africa,Egypt
Africa,Ethiopia
Africa,"Congo, The Democratic Republic of the"
Africa,South Africa
Africa,Tanzania
Africa,Algeria
Africa,Kenya
Africa,Sudan
Africa,Morocco
Africa,Uganda
Africa,Ghana
Africa,Mozambique
Africa,Madagascar
Africa,Cameroon
Africa,Côte d’Ivoire
Africa,Angola
Africa,Burkina Faso
Africa,Zimbabwe
Africa,Mali
Africa,Malawi
Africa,Niger
Africa,Somalia
Africa,Tunisia
Africa,Senegal
Africa,Zambia
Africa,Rwanda
Africa,Chad
Africa,Guinea
Africa,Burundi
Africa,Benin
Africa,Libyan Arab Jamahiriya
Africa,Sierra Leone
Africa,Togo
Africa,Eritrea
Africa,Central African Republic
Africa,Liberia
Africa,Congo
Africa,Mauritania
Africa,Lesotho
Africa,Namibia
Africa,Botswana
Africa,Gambia
Africa,Gabon
Africa,Guinea-Bissau
Africa,Mauritius
Africa,Swaziland
Africa,Réunion
Africa,Djibouti
Africa,Comoros
Africa,Equatorial Guinea
Africa,Cape Verde
Africa,Western Sahara
Africa,Mayotte
Africa,Sao Tome and Principe
Africa,Seychelles
Africa,Saint Helena
Africa,British Indian Ocean Territory
